SERVICENAME,KEY,TXT
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES5","Query is not set"
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES6","Query list is not set"
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES7","Data acquisition failed"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES1","Search"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES10","CSV template output"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES2","Search"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES3","Cancel"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES4","Display"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES5","Next results"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES6","Previous results"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES7","CSV output"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES8","Move to service"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES9","Service parameters:"
"root.cws.hr_business.hr_emp_search.tran_assign","service.caption","Secondment Information Inquiry"
"root.cws.hr_business.hr_emp_search.sub_assign","service.caption","Additional Job Inquiry"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5153","Specified Custom Type 01 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5156","Specified Custom Type 02 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5159","Specified Custom Type 03 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5162","Specified Custom Type 04 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5165","Specified Custom Type 05 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5168","Specified Custom Type 06 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5171","Specified Custom Type 07 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5174","Specified Custom Type 08 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5177","Specified Custom Type 09 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5180","Specified Custom Type 10 does not exist. <br> Please contact your administrator."
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES135","Custom Code 01"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES136","Custom Code 02"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES137","Custom Code 03"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES138","Custom Code 04"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES139","Custom Code 05"