SERVICE_NAME_DEF,NAME,TXT,L_TXT,R_TXT,COM
"root.cws.appannounce.app_employ.commute","total_cost","通勤交通費計","","円",""
"root.cws.appannounce.app_employ.commute","total_distance","通勤距離計","","Km",""
"root.cws.appannounce.app_employ.commute","total_time","通勤時間計","","分",""
"root.cws.appannounce.app_employ.education","educourse","学科","","",""
"root.cws.appannounce.app_employ.education","edufaculty","学部","","",""
"root.cws.appannounce.app_employ.education","edumajor","専攻","","",""
"root.cws.appannounce.app_employ.education","eduschool","学校","","",""
"root.cws.appannounce.app_employ.education","entrance_year","入学年","","",""
"root.cws.appannounce.app_employ.education","graduate_kind","卒退区分","","",""
"root.cws.appannounce.app_employ.education","graduation_year","卒業年","","",""
"root.cws.personalsetting.profilechange","emp_email.email","EMAILアドレス","","",""
"root.cws.personalsetting.profilechange","emp_email.email2","EMAILアドレス2","","",""
"root.cws.personalsetting.profilechange","emp_email.email3","EMAILアドレス3","","",""
"root.cws.personalsetting.profilechange","emp_email.email4","EMAILアドレス4","","",""
"root.cws.personalsetting.profilechange","emp_email.email5","EMAILアドレス5","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com01","社員備考01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com02","社員備考02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com03","社員備考03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com04","社員備考04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com05","社員備考05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com06","社員備考06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com07","社員備考07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com08","社員備考08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com09","社員備考09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com10","社員備考10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com11","社員備考11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com12","社員備考12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com13","社員備考13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com14","社員備考14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com15","社員備考15","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01","社員予備区分01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01d","社員予備日付01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01i","社員予備数字01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02","社員予備区分02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02d","社員予備日付02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02i","社員予備数字02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03","社員予備区分03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03d","社員予備日付03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03i","社員予備数字03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04","社員予備区分04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04d","社員予備日付04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04i","社員予備数字04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05","社員予備区分05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05d","社員予備日付05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05i","社員予備数字05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06","社員予備区分06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06d","社員予備日付06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06i","社員予備数字06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex07","社員予備区分07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex07d","社員予備日付07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex07i","社員予備数字07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex08","社員予備区分08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex08d","社員予備日付08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex08i","社員予備数字08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex09","社員予備区分09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex09d","社員予備日付09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex09i","社員予備数字09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex10","社員予備区分10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex10d","社員予備日付10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex10i","社員予備数字10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex11","社員予備区分11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex11d","社員予備日付11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex11i","社員予備数字11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex12","社員予備区分12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex12d","社員予備日付12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex12i","社員予備数字12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex13","社員予備区分13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex13d","社員予備日付13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex13i","社員予備数字13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex14","社員予備区分14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex14d","社員予備日付14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex14i","社員予備数字14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex15","社員予備区分15","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex15d","社員予備日付15","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex15i","社員予備数字15","","",""
"root.cws.personalsetting.profilechange","emp_info.ent_dt","入社日","","",""
"root.cws.personalsetting.profilechange","emp_tel.ext_tel","内線番号","","",""
"root.cws.personalsetting.profilechange","emp_tel.port_tel","携帯電話番号","","",""
"root.cws.personalsetting.profilechange","jobgrade.job_an","職務略称","","",""
"root.cws.personalsetting.profilechange","jobgrade.job_cd","職務コード","","",""
"root.cws.personalsetting.profilechange","jobgrade.job_nm","職務名称","","",""
"root.cws.personalsetting.profilechange","office.ofc_an","事業所略称","","",""
"root.cws.personalsetting.profilechange","office.ofc_cd","事業所コード","","",""
"root.cws.personalsetting.profilechange","office.ofc_nm","事業所名称","","",""
"root.cws.personalsetting.profilechange","org_section.sec_cd","原籍所属コード","","",""
"root.cws.personalsetting.profilechange","org_section.sec_nm","原籍所属名称","","",""
"root.cws.personalsetting.profilechange","position.psn_an","職位略称","","",""
"root.cws.personalsetting.profilechange","position.psn_cd","職位コード","","",""
"root.cws.personalsetting.profilechange","position.psn_nm","職位名称","","",""
"root.cws.personalsetting.profilechange","post.pst_an","役職略称","","",""
"root.cws.personalsetting.profilechange","post.pst_cd","役職コード","","",""
"root.cws.personalsetting.profilechange","post.pst_nm","役職名称","","",""
"root.cws.personalsetting.profilechange","rank.rnk_cd","ランクコード","","",""
"root.cws.personalsetting.profilechange","rank.rnk_nm","ランク名称","","",""
"root.cws.personalsetting.profilechange","section.sec_an","所属略称","","",""
"root.cws.personalsetting.profilechange","section.sec_cd","所属コード","","",""
"root.cws.personalsetting.profilechange","section.sec_nm","所属名称","","",""
"root.cws.personalsetting.profilechange","speciality.spc_an","職種略称","","",""
"root.cws.personalsetting.profilechange","speciality.spc_cd","職種コード","","",""
"root.cws.personalsetting.profilechange","speciality.spc_nm","職種名称","","",""
"root.cws.personalsetting.schemchange","schem_caption","スキーマ名称","","",""
"root.cws.personalsetting.schemchange","schem_comment","スキーマ説明","","",""
"root.cws.personalsetting.telnosetting","ext_tel","内線番号","","",""
"root.cws.personalsetting.telnosetting","port_tel","携帯電話番号","","",""
